OBJECTID,ZCTA5CE10,GEOID10,FreeEligible,ReducedEligible,NotEligible,Total,FreeReducedEligible,PCT_Free,PCT_Reduced,PCT_FreeReduced,Shape__Area,Shape__Length
1,49883,2649883,737,129,560,1426,866,0.516830294530154,0.0904628330995792,0.607293127629734,7789234259.90039,579955.603269233
2,49878,2649878,142,23,190,355,165,0.4,0.0647887323943662,0.464788732394366,14046974540.123,921741.284966133
3,49855,2649855,985,151,2437,3573,1136,0.275678701371397,0.042261404981808,0.317940106353205,6747444281.85742,1162097.56327609
4,49408,2649408,273,68,99,440,341,0.620454545454545,0.154545454545455,0.775,2995689588.96094,351703.870475865
5,49010,2649010,1317,224,1162,2703,1541,0.487236403995561,0.0828708842027377,0.570107288198298,4615699283.44214,531102.818013098
6,49055,2649055,2,0,7,9,2,0.222222222222222,0,0.222222222222222,1698919429.1792,234432.08736451
7,49766,2649766,101,13,64,178,114,0.567415730337079,0.0730337078651685,0.640449438202247,1469598997.7002,311492.063024033
8,49073,2649073,142,22,92,256,164,0.5546875,0.0859375,0.640625,1967882358.87646,246887.309097267
9,48604,2648604,1038,123,227,1388,1161,0.747838616714697,0.0886167146974063,0.836455331412104,730016629.371094,168369.138382106
10,49106,2649106,289,64,520,873,353,0.331042382588774,0.0733104238258877,0.404352806414662,483178021.846313,120241.516819659
11,49117,2649117,87,18,123,228,105,0.381578947368421,0.0789473684210526,0.460526315789474,589776620.144531,161859.030876311
12,49128,2649128,201,31,211,443,232,0.45372460496614,0.0699774266365688,0.523702031602709,1204341376.672,207524.498844259
13,49028,2649028,534,99,423,1056,633,0.505681818181818,0.09375,0.599431818181818,3349678224.27124,367383.39095492
14,49040,2649040,251,17,240,508,268,0.494094488188976,0.0334645669291339,0.52755905511811,1184706294.65405,261609.100929652
15,49224,2649224,381,13,91,485,394,0.785567010309278,0.0268041237113402,0.812371134020619,2816964712.80835,403934.5444048
16,49795,2649795,65,7,10,82,72,0.792682926829268,0.0853658536585366,0.878048780487805,3669700291.69531,426299.30823043
17,49788,2649788,70,7,17,94,77,0.74468085106383,0.074468085106383,0.819148936170213,217770422.273438,84280.5284332418
18,49780,2649780,383,61,214,658,444,0.582066869300912,0.0927051671732523,0.674772036474164,8461829023.76367,765093.797795674
19,48879,2648879,794,99,1721,2614,893,0.303749043611324,0.0378729915837797,0.341622035195103,5292135185.65039,478579.979189274
20,48873,2648873,61,15,100,176,76,0.346590909090909,0.0852272727272727,0.431818181818182,938822452.071289,214209.409658316
21,48866,2648866,368,57,448,873,425,0.421534936998855,0.0652920962199313,0.486827033218786,1363112196.67383,217380.762546071
22,48831,2648831,270,53,376,699,323,0.386266094420601,0.0758226037195994,0.4620886981402,2035719223.30371,318605.101026238
23,48837,2648837,1020,235,3309,4564,1255,0.223488168273444,0.051489921121823,0.274978089395267,2236340871.82178,289062.49748577
24,49801,2649801,374,33,472,879,407,0.425483503981798,0.037542662116041,0.463026166097838,4356408361.03906,754896.745716157
25,48917,2648917,2857,419,1862,5138,3276,0.556052938886726,0.0815492409497859,0.637602179836512,692424525.053223,161185.830331308
26,48415,2648415,818,124,961,1903,942,0.429847609038361,0.0651602732527588,0.495007882291119,1825109410.89111,280336.416792238
27,48847,2648847,602,63,640,1305,665,0.461302681992337,0.0482758620689655,0.509578544061303,3421828420.10254,336806.45279681
28,49246,2649246,171,26,418,615,197,0.278048780487805,0.0422764227642276,0.320325203252033,991251418.79541,211426.264165498
29,48864,2648864,2186,327,4850,7363,2513,0.296889854678799,0.0444112454162705,0.34130110009507,605961761.278809,127942.317913181
30,48858,2648858,1837,255,2580,4672,2092,0.393193493150685,0.0545804794520548,0.44777397260274,4849865348.33203,563897.950456986
31,49202,2649202,2467,208,872,3547,2675,0.695517338595997,0.0586411051592895,0.754158443755286,389819920.672119,157479.006460473
32,49008,2649008,2291,190,1083,3564,2481,0.642817059483726,0.05331088664422,0.696127946127946,188155428.67334,72860.5715516888
33,49002,2649002,1478,230,2769,4477,1708,0.330131784677239,0.0513736877373241,0.381505472414563,569830159.47168,138099.473619652
34,49053,2649053,341,48,311,700,389,0.487142857142857,0.0685714285714286,0.555714285714286,714691872.706299,201281.181930924
35,49071,2649071,666,85,3068,3819,751,0.17439120188531,0.0222571353757528,0.196648337261063,812297744.373535,226870.620732055
36,49646,2649646,782,105,555,1442,887,0.542302357836338,0.0728155339805825,0.615117891816921,6346519892.36133,656685.675780845
37,49544,2649544,971,193,1411,2575,1164,0.377087378640777,0.0749514563106796,0.452038834951456,584530018.76709,185886.617243511
38,49525,2649525,2338,456,5715,8509,2794,0.274767892819368,0.0535903161358562,0.328358208955224,683970002.724609,125331.831644207
39,49330,2649330,694,113,487,1294,807,0.536321483771252,0.0873261205564142,0.623647604327666,1247671799.94189,226767.399546573
40,48371,2648371,1131,142,3757,5030,1273,0.224850894632207,0.0282306163021869,0.253081510934394,1235618093.33496,207362.924188193
41,48014,2648014,390,51,464,905,441,0.430939226519337,0.056353591160221,0.487292817679558,1025657707.47754,153001.046384664
42,49228,2649228,374,49,770,1193,423,0.31349538977368,0.0410729253981559,0.354568315171836,2223019627.1955,311374.916008961
43,49221,2649221,2717,357,1883,4957,3074,0.548113778495057,0.0720193665523502,0.620133145047408,3320113481.22229,435492.92471181
44,49236,2649236,304,60,737,1101,364,0.276112624886467,0.0544959128065395,0.330608537693006,1053678069.51465,247056.705299053
45,49238,2649238,88,18,98,204,106,0.431372549019608,0.0882352941176471,0.519607843137255,793249671.150879,181431.602845419
46,48380,2648380,393,45,1484,1922,438,0.204474505723205,0.0234131113423517,0.227887617065557,752500750.591309,187144.651044014
47,48081,2648081,1513,294,2592,4399,1807,0.343941804955672,0.066833371220732,0.410775176176404,146789897.484375,51296.7064128202
48,48315,2648315,134,26,1309,1469,160,0.0912185159972771,0.0176991150442478,0.108917631041525,360411852.666504,88027.2604060708
49,48317,2648317,1368,218,2071,3657,1586,0.374077112387203,0.0596117035821712,0.433688815969374,351817680.237305,87300.4468129207
50,48088,2648088,1392,259,1406,3057,1651,0.455348380765456,0.0847235852142623,0.540071965979719,123667671.4375,51115.1436246169
51,48048,2648048,221,34,264,519,255,0.425818882466281,0.0655105973025048,0.491329479768786,534531005.373535,117290.083686289
52,48236,2648236,856,132,5074,6062,988,0.141207522269878,0.0217749917518971,0.162982514021775,245620953.578857,86856.4997329504
53,49454,2649454,726,104,525,1355,830,0.535793357933579,0.0767527675276753,0.612546125461255,2048838304.27832,342871.760629759
54,49449,2649449,126,18,136,280,144,0.45,0.0642857142857143,0.514285714285714,1382560381.54492,254372.267262595
55,49332,2649332,142,17,77,236,159,0.601694915254237,0.0720338983050847,0.673728813559322,1359994810.21973,312615.787167773
56,49886,2649886,59,23,91,173,82,0.341040462427746,0.132947976878613,0.473988439306358,434323629.509766,191691.380194787
57,49847,2649847,77,29,86,192,106,0.401041666666667,0.151041666666667,0.552083333333333,1659324444.65234,221944.443101169
58,49663,2649663,490,93,372,955,583,0.513089005235602,0.0973821989528796,0.610471204188482,4767449728.59766,537862.601302803
59,48182,2648182,607,107,2410,3124,714,0.194302176696543,0.0342509603072983,0.228553137003841,1110470295.76892,207971.678978288
60,49329,2649329,37,6,23,66,43,0.560606060606061,0.0909090909090909,0.651515151515151,2306475497.88916,379278.568932834
61,48884,2648884,150,25,48,223,175,0.672645739910314,0.112107623318386,0.7847533632287,1721909708.15674,300156.859533866
62,49457,2649457,127,13,130,270,140,0.47037037037037,0.0481481481481481,0.518518518518518,2264346014.68262,394633.718717476
63,48383,2648383,636,74,1999,2709,710,0.234772978959025,0.0273163528977482,0.262089331856774,442059866.638672,121077.707954
64,48335,2648335,395,61,1738,2194,456,0.18003646308113,0.0278030993618961,0.207839562443026,210177688.010742,82026.10813739
65,48320,2648320,435,40,684,1159,475,0.375323554788611,0.0345125107851596,0.409836065573771,39043283.0546875,41567.7872641975
66,48165,2648165,67,2,369,438,69,0.15296803652968,0.0045662100456621,0.157534246575342,265856411.638672,102348.411103733
67,48363,2648363,154,35,957,1146,189,0.134380453752181,0.0305410122164049,0.164921465968586,572131537.174316,113905.093024149
68,48073,2648073,608,97,2310,3015,705,0.201658374792703,0.0321724709784411,0.233830845771144,205613904.435059,79139.4454606835
69,48083,2648083,671,104,1909,2684,775,0.25,0.0387481371087928,0.288748137108793,240859896.924805,66265.5537855074
70,48656,2648656,542,24,68,634,566,0.854889589905363,0.0378548895899054,0.892744479495268,3845694564.73145,410487.722652742
71,48655,2648655,413,61,444,918,474,0.449891067538126,0.0664488017429194,0.516339869281046,2680272155.24658,389197.908782008
72,49064,2649064,480,50,274,804,530,0.597014925373134,0.0621890547263682,0.659203980099503,1308191110.6228,240727.857354779
73,49043,2649043,326,12,13,351,338,0.928774928774929,0.0341880341880342,0.962962962962963,955920431.333984,205588.286629485
74,48105,2648105,871,124,3918,4913,995,0.177284754732343,0.025239161408508,0.202523916140851,1413064650.19116,318228.893518483
75,48213,2648213,1501,9,109,1619,1510,0.927115503397159,0.00555898702903027,0.932674490426189,182142527.602051,78917.9696212648
76,48216,2648216,450,9,27,486,459,0.925925925925926,0.0185185185185185,0.944444444444444,61857716.5915527,47805.7357555595
77,48221,2648221,3173,70,735,3978,3243,0.797637003519357,0.0175967823026647,0.815233785822021,151987750.274902,56073.8936891594
78,48215,2648215,1111,82,110,1303,1193,0.85264773599386,0.0629316960859555,0.915579432079816,111890119.838867,49809.3052202122
79,48227,2648227,3000,34,341,3375,3034,0.888888888888889,0.0100740740740741,0.898962962962963,209919144.952393,67699.6889931118
80,48128,2648128,1096,127,1204,2427,1223,0.451586320560363,0.0523279769262464,0.503914297486609,67351262.4189453,56021.8253804226
81,48195,2648195,2122,208,2163,4493,2330,0.472290229245493,0.0462942354774093,0.518584464722902,190348453.847412,57478.8494562434
82,48192,2648192,2583,269,1901,4753,2852,0.543446244477172,0.0565958342099726,0.600042078687145,151745371.079102,67308.190393757
83,48230,2648230,189,32,1174,1395,221,0.135483870967742,0.0229390681003584,0.1584229390681,122286760.471191,50549.3631914091
84,48187,2648187,1974,336,10004,12314,2310,0.16030534351145,0.0272860159168426,0.187591359428293,504199417.114014,95169.0796552254
85,48225,2648225,3372,237,839,4448,3609,0.758093525179856,0.0532823741007194,0.811375899280576,73776795.5073242,42611.6637975598
86,48218,2648218,1657,25,467,2149,1682,0.77105630525826,0.0116333178222429,0.782689623080503,77064671.5529785,48495.8789201814
87,48647,2648647,335,40,155,530,375,0.632075471698113,0.0754716981132075,0.707547169811321,3994624645.99512,781707.261765787
88,49707,2649707,1613,255,1595,3463,1868,0.465781114640485,0.0736355760900953,0.53941669073058,7197871788.03418,663613.744429146
89,49690,2649690,66,10,129,205,76,0.321951219512195,0.0487804878048781,0.370731707317073,2524493142.46973,358390.457407401
90,49729,2649729,128,22,115,265,150,0.483018867924528,0.0830188679245283,0.566037735849057,1201433697.38184,257517.18900669
91,49730,2649730,83,14,27,124,97,0.669354838709677,0.112903225806452,0.782258064516129,2618573056.52246,419706.322350322
92,48763,2648763,673,99,551,1323,772,0.508692365835223,0.0748299319727891,0.583522297808012,2728095726.99707,454730.567158365
93,49946,2649946,320,37,258,615,357,0.520325203252033,0.0601626016260163,0.580487804878049,8336436039.50781,595909.62838272
94,48740,2648740,,,,,,,,,2176297608.47461,363888.810612807
95,48762,2648762,,,,,,,,,1260396634.47656,365090.807579079
96,49335,2649335,,,,,,,,,26433791.253418,26189.0074678001
97,49713,2649713,,,,,,,,,2789120197.88184,403892.925858973
98,49650,2649650,,,,,,,,,742383100.589844,165118.495712087
99,49683,2649683,,,,,,,,,2412517472.79199,355001.096660923
100,49102,2649102,,,,,,,,,449397026.130737,105205.882574676
101,49084,2649084,,,,,,,,,526067.923095703,2883.42693928416
102,49274,2649274,,,,,,,,,1688143655.62769,346352.738073711
103,49089,2649089,,,,,,,,,1094385155.50598,219113.968660174
104,49755,2649755,,,,,,,,,2952638435.44727,338448.587928647
105,49768,2649768,,,,,,,,,5484765741.82422,404129.643642846
106,48625,2648625,,,,,,,,,6805872054.49609,606680.762049101
107,48845,2648845,,,,,,,,,690989481.710449,210501.740181472
108,49815,2649815,,,,,,,,,3339904023.92188,397738.642193317
109,48861,2648861,,,,,,,,,655692729.760742,159305.876077543
110,48554,2648554,,,,,,,,,5073391.35351563,8905.40210313063
111,48449,2648449,,,,,,,,,714665929.5625,152750.416569491
112,48807,2648807,,,,,,,,,779432589.348633,180620.387840524
113,48615,2648615,,,,,,,,,1610856576.44971,313541.524167309
114,48877,2648877,,,,,,,,,950640121.057617,275144.501430975
115,49233,2649233,,,,,,,,,624260899.857666,168341.430956457
116,49917,2649917,,,,,,,,,48121188.3769531,42347.88016698
117,49913,2649913,,,,,,,,,2010616770.9707,384795.328688641
118,49961,2649961,,,,,,,,,1698005093.70313,289847.221122202
119,48759,2648759,,,,,,,,,1433592219.93066,283953.53197666
120,48731,2648731,,,,,,,,,1357829341.52539,252901.977608773
121,48725,2648725,,,,,,,,,1148365646.2793,260482.867299467
122,48825,2648825,,,,,,,,,35340647.6831055,30639.0270212765
123,48743,2648743,,,,,,,,,57877433.6660156,39433.8362906343
124,49915,2649915,,,,,,,,,25121015.5898438,28284.8807692922
125,54554,2654554,,,,,,,,,57016392.046875,38413.1013404111
126,49277,2649277,,,,,,,,,1005342501.88037,232474.213733705
127,49656,2649656,,,,,,,,,3540986823.0791,425909.881912547
128,49309,2649309,,,,,,,,,3492927641.7334,392100.819733817
129,49688,2649688,,,,,,,,,2704455880.72559,335041.409791844
130,48727,2648727,,,,,,,,,687071936.105957,155249.08114461
131,49287,2649287,,,,,,,,,800466652.798828,177739.029130814
132,49719,2649719,,,,,,,,,2269202576.52148,329295.267162949
133,49833,2649833,,,,,,,,,244709534.886719,127117.497912968
134,49893,2649893,,,,,,,,,2116067501.88184,348800.780960024
135,48157,2648157,,,,,,,,,26786567.1888428,38013.006288127
136,48619,2648619,,,,,,,,,2225712253.75781,302732.491174697
137,49912,2649912,,,,,,,,,6041676699.60156,558756.619800408
